"Site","Date....as.Date.character....format.....Y..m..d..","Time....character..","Name....character..","File_Start_Time....character..","File_End_Time....character..","bioacoustic....double..","amplitude....double..","temporal_entropy....double..","spectral_entropy....double..","acoustic_entropy....double..","acoustic_diversity....double..","acoustic_evenness....double..","acoustic_complexity....double..","nrows....integer..","ndsi....double..","cluster..nine..clusters","cluster..fifteen..clusters"
"Patagonia_lake","2019-04-13","15:0:0","Patagonia_lake_S4A07341_20190413_150000.wav",0,5,168.227182355776,0.037343885768573,0.988372163510417,0.613480093261975,0.606346647047911,1.03036,0.772179,177.576451408024,0,0.0414077227922346,3,2
"Patagonia_lake","2019-04-13","15:5:0","Patagonia_lake_S4A07341_20190413_150000.wav",5,10,157.69341347461,0.0354398750026304,0.994160472078129,0.62717449156907,0.623512088613667,1.348016,0.706226,178.267700913868,0,-0.477755155508466,3,2
"Patagonia_lake","2019-04-13","15:10:0","Patagonia_lake_S4A07341_20190413_150000.wav",10,15,160.98676460257,0.0390172406210454,0.991675046552253,0.638838536265836,0.633520235190796,1.117608,0.751414,178.485869995148,0,-0.0304693093382581,3,2
"Patagonia_lake","2019-04-13","15:15:0","Patagonia_lake_S4A07341_20190413_150000.wav",15,20,156.824996850419,0.0363579691545886,0.993795855071709,0.582317410720775,0.578704629110396,0.785532,0.799909,171.64888611834,0,0.33717840621192,3,1
"Patagonia_lake","2019-04-13","15:20:0","Patagonia_lake_S4A07341_20190413_150000.wav",20,25,162.728874169899,0.0366994157998678,0.992573576681417,0.617710584368027,0.613123204080141,1.302865,0.699497,178.269864418674,0,0.809536276229148,3,2
"Patagonia_lake","2019-04-13","15:25:0","Patagonia_lake_S4A07341_20190413_150000.wav",25,30,170.546045647287,0.0379938121087507,0.992362817213907,0.720069589602503,0.714570286528001,1.569109,0.630667,172.470987351099,0,0.634508673049488,3,2
"Patagonia_lake","2019-04-13","15:30:0","Patagonia_lake_S4A07341_20190413_150000.wav",30,35,168.288420927859,0.0350711501556756,0.994927956900157,0.65776298214278,0.65442677994787,1.758908,0.555955,184.430304794449,0,0.752124842969809,3,2
"Patagonia_lake","2019-04-13","15:35:0","Patagonia_lake_S4A07341_20190413_150000.wav",35,40,151.753555261586,0.0348922893013464,0.99354881090454,0.575227871369599,0.571516967598415,1.494373,0.654374,188.263464782448,0,0.97586469738749,3,2
"Patagonia_lake","2019-04-13","15:40:0","Patagonia_lake_S4A07341_20190413_150000.wav",40,45,122.014123064977,0.0343365016499867,0.995619086445945,0.461488004967901,0.459466265911903,0.53016,0.818721,159.617047391499,0,0.351402795270905,1,1
"Patagonia_lake","2019-04-13","15:45:0","Patagonia_lake_S4A07341_20190413_150000.wav",45,50,123.720612491717,0.0338364567112016,0.996373463114266,0.451020159106415,0.449384517863206,0.731238,0.817602,163.636700647555,0,-0.0526832641294767,1,9
"Patagonia_lake","2019-04-13","15:50:0","Patagonia_lake_S4A07341_20190413_150000.wav",50,55,132.145131864492,0.0351057557965433,0.99159821694406,0.489182367966774,0.485072363836326,0.573444,0.837598,174.674425088109,0,0.358249269326257,3,1
"Patagonia_lake","2019-04-13","16:0:0","Patagonia_lake_S4A07341_20190413_160000.wav",0,5,163.64213412006,0.037326243883563,0.991645687182605,0.65854312073802,0.653041445503631,1.402554,0.688232,179.127532989999,0,0.972061866340675,3,2
"Patagonia_lake","2019-04-13","16:5:0","Patagonia_lake_S4A07341_20190413_160000.wav",5,10,150.871151092471,0.0348017551219311,0.995301737465895,0.539725976906923,0.537190202570938,1.332565,0.684264,182.590969602511,0,0.906773189782341,3,2
